410
2 4
0 0 3
1 1 4
2 100
1 0 49
1 50 100
3 9
33 0 6
66 0 9
99 3 9
7 30
10 0 10
20 0 10
5 8 21
15 7 20
25 9 22
10 20 30
20 20 30
4 14
34 5 13
17 0 8
41 4 9
8 6 14
11 15
2 1 7
2 9 15
3 0 4
5 7 13
7 0 8
8 3 6
8 8 15
10 2 9
11 8 13
14 6 15
16 0 6
25 614
3 497 552
3 133 298
12 395 522
9 112 493
11 567 614
0 364 401
4 105 386
2 0 449
4 73 80
4 475 505
6 275 423
1 20 380
10 29 180
0 41 352
8 56 157
6 0 70
11 284 317
7 247 385
10 212 614
8 422 469
12 0 337
8 504 557
1 399 598
3 424 459
0 452 486
1 1
0 0 1
1 1
1 0 1
50 100000
100000 25697 100000
96114 0 75919
55020 45840 100000
12712 30014 100000
8973 0 62582
36320 6906 56362
66239 36919 100000
98030 50788 100000
36614 0 56722
6471 46773 91136
97823 59309 100000
38506 0 72487
69706 0 97253
75371 46851 99114
71451 21863 100000
41964 21457 100000
82415 0 99442
83585 0 73981
55014 0 100000
8483 54911 82330
62819 18776 38932
92868 28387 100000
41311 0 65188
83336 15898 56458
2864 0 55258
75766 0 77956
40160 1301 100000
46238 16980 100000
75249 51257 100000
7754 22034 55502
19835 0 91045
6406 0 93733
94401 37861 100000
10218 0 50747
25496 0 59498
49929 52410 82083
88840 419 26105
47287 0 97402
34402 48022 81453
95982 0 38149
94061 4309 74476
91984 23971 70310
21500 0 80809
59436 0 57030
53720 0 40937
63724 23903 100000
44995 0 76747
16687 0 65194
59953 0 83332
16243 8047 60955
50 99837
100000 0 95815
93913 0 66977
2104 17849 99837
48320 49218 99837
7304 0 80739
43258 16624 61903
72280 0 70319
71766 59713 99837
57014 0 46914
78458 8080 99837
58255 15169 62119
82680 0 60629
82281 0 88526
83391 0 67590
15494 25510 51765
43151 0 79307
41441 0 89911
92180 0 75850
75545 0 76272
86796 34804 87458
16858 0 77438
58711 62767 99837
8106 40721 99837
69693 43016 99837
98413 53867 99837
91880 74245 95247
61423 0 48298
43982 46526 69398
6568 0 78679
87471 69091 99837
92154 45282 99837
22638 0 55238
35028 0 47487
53516 29177 99837
2037 46741 99837
63782 0 75575
55030 0 94078
26792 0 63517
69823 16452 99837
75893 0 88108
12290 0 99360
41477 11793 99837
95930 46512 99837
15996 0 76999
22406 21739 99837
67211 0 35852
68589 5451 99837
2600 42828 99837
85115 0 58234
21559 32038 99837
50 100000
0 1 100000
1 0 99999
2 1 100000
3 0 99999
4 1 100000
5 0 99999
6 1 100000
7 0 99999
8 1 100000
9 0 99999
10 1 100000
11 0 99999
12 1 100000
13 0 99999
14 1 100000
15 0 99999
16 1 100000
17 0 99999
18 1 100000
19 0 99999
20 1 100000
21 0 99999
22 1 100000
23 0 99999
24 1 100000
25 0 99999
26 1 100000
27 0 99999
28 1 100000
29 0 99999
30 1 100000
31 0 99999
32 1 100000
33 0 99999
34 1 100000
35 0 99999
36 1 100000
37 0 99999
38 1 100000
39 0 99999
40 1 100000
41 0 99999
42 1 100000
43 0 99999
44 1 100000
45 0 99999
46 1 100000
47 0 99999
48 1 100000
49 0 99999
50 99202
100000 0 96169
