507
3 1
1 2 3
3 3
1 2 2
2 3 3
3 1 1
4 2
2 1 2
1 4 3
6 3
2 4 3
6 5 4
1 2 6
7 4
7 3 5
4 1 2
6 3 6
6 4 5
12 9
1 5 7
11 2 6
9 4 12
8 12 6
10 1 7
4 3 12
3 10 6
8 11 8
2 5 10
60 116
1 3 1
1 4 1
2 3 2
2 4 2
3 5 3
3 6 3
4 5 4
4 6 4
5 7 5
5 8 5
6 7 6
6 8 6
7 9 7
7 10 7
8 9 8
8 10 8
9 11 9
9 12 9
10 11 10
10 12 10
11 13 11
11 14 11
12 13 12
12 14 12
13 15 13
13 16 13
14 15 14
14 16 14
15 17 15
15 18 15
16 17 16
16 18 16
17 19 17
17 20 17
18 19 18
18 20 18
19 21 19
19 22 19
20 21 20
20 22 20
21 23 21
21 24 21
22 23 22
22 24 22
23 25 23
23 26 23
24 25 24
24 26 24
25 27 25
25 28 25
26 27 26
26 28 26
27 29 27
27 30 27
28 29 28
28 30 28
29 31 29
29 32 29
30 31 30
30 32 30
31 33 31
31 34 31
32 33 32
32 34 32
33 35 33
33 36 33
34 35 34
34 36 34
35 37 35
35 38 35
36 37 36
36 38 36
37 39 37
37 40 37
38 39 38
38 40 38
39 41 39
39 42 39
40 41 40
40 42 40
41 43 41
41 44 41
42 43 42
42 44 42
43 45 43
43 46 43
44 45 44
44 46 44
45 47 45
45 48 45
46 47 46
46 48 46
47 49 47
47 50 47
48 49 48
48 50 48
49 51 49
49 52 49
50 51 50
50 52 50
51 53 51
51 54 51
52 53 52
52 54 52
53 55 53
53 56 53
54 55 54
54 56 54
55 57 55
55 58 55
56 57 56
56 58 56
57 58 57
58 59 58
59 60 59
60 57 60
60 120
5 14 14
23 11 14
56 26 14
17 48 14
20 36 14
59 34 14
50 11 50
44 29 14
52 56 14
52 23 14
51 56 14
12 10 1
47 5 14
16 41 1
43 28 14
3 35 7
47 32 4
7 5 14
55 25 14
19 4 4
31 2 45
18 36 14
3 31 14
3 38 7
30 6 7
20 39 14
60 38 4
17 6 14
1 7 14
52 5 14
41 27 1
28 52 14
12 8 53
16 31 53
53 11 14
18 20 1
41 29 14
38 19 4
7 21 14
34 11 7
30 23 14
21 35 14
27 19 14
3 22 7
46 20 14
24 29 14
26 44 14
26 53 14
16 54 14
5 58 14
10 26 14
18 60 14
34 7 7
15 29 14
17 53 53
42 52 14
45 19 14
31 35 14
54 21 14
13 34 14
6 10 14
21 58 14
38 52 7
48 54 7
30 54 7
43 40 7
30 40 7
55 56 1
24 2 1
12 27 53
50 23 14
43 5 14
31 20 1
10 44 14
30 2 14
40 58 7
52 47 7
27 2 53
53 49 14
31 51 14
55 24 1
54 27 14
16 4 14
16 8 53
26 20 14
54 22 7
50 16 14
32 19 4
3 55 14
37 32 14
58 25 4
51 19 14
45 6 14
5 31 14
34 48 7
18 24 1
43 13 14
57 41 14
12 30 14
17 25 14
58 60 4
48 41 14
56 2 1
34 60 4
58 13 14
32 41 14
28 10 1
47 31 14
21 47 14
44 31 14
29 22 14
27 54 14
5 11 14
5 24 14
16 42 53
24 45 1
29 6 14
35 59 14
45 47 14
60 30 4
60 120
1 15 17
30 35 14
37 56 14
35 36 45
8 11 14
22 3 14
55 23 14
50 9 53
5 21 22
43 17 14
41 5 14
48 8 14
40 4 45
9 2 14
7 53 14
28 9 14
44 25 14
55 6 14
21 7 39
43 38 39
52 16 14
41 45 45
35 58 45
12 40 45
6 26 14
4 29 14
27 11 14
56 13 14
33 39 14
49 30 14
52 14 14
7 56 30
1 19 14
40 5 14
49 51 17
15 25 14
58 24 45
5 42 14
35 22 14
3 36 14
51 26 14
17 37 14
7 30 30
20 21 14
33 55 14
43 52 14
18 11 14
45 39 14
47 20 14
54 51 14
5 31 14
18 4 14
10 54 14
39 11 39
33 10 45
48 55 48
18 29 17
60 47 14
48 20 14
23 51 14
4 33 45
38 46 14
46 50 14
13 34 14
24 36 47
33 7 14
28 1 14
15 50 14
20 5 14
17 59 14
37 60 14
54 58 14
43 30 39
40 34 14
20 45 14
39 33 14
26 14 14
31 3 14
38 56 38
50 38 14
27 29 27
56 53 14
26 43 39
58 54 14
8 56 14
12 26 14
21 44 14
13 50 14
57 51 14
41 39 14
4 16 14
2 10 45
23 25 14
26 5 39
6 28 14
41 60 14
54 23 14
29 59 14
58 32 14
58 54 14
48 17 14
4 8 45
27 53 14
33 19 14
6 55 14
28 45 14
13 25 14
9 14 14
44 10 45
27 24 14
35 12 45
25 44 14
47 19 14
34 40 14
21 55 57
16 9 14
41 23 41
57 17 14
13 28 14
38 6 14
60 120
6 41 55
57 12 11
33 17 32
49 35 32
31 59 32
12 19 32
21 30 32
6 24 32
16 46 48
3 16 32
60 43 32
58 2 32
4 56 11
20 9 9
24 27 48
33 47 32
37 21 48
18 45 32
1 12 32
17 11 32
55 50 32
43 38 32
59 5 32
60 31 32
39 19 32
9 31 32
46 21 48
41 14 32
33 57 9
37 30 32
16 45 53
39 55 11
57 20 11
38 43 32
56 39 11
58 60 32
20 23 32
7 32 32
11 53 32
50 60 32
27 4 32
47 25 32
46 14 48
36 20 32
6 38 55
11 8 9
43 57 32
51 17 32
44 3 9
43 60 32
34 53 53
33 31 32
19 18 32
39 23 32
12 35 11
25 14 32
39 13 11
5 32 32
29 40 40
60 32 32
21 47 53
19 18 32
58 20 32
27 12 32
60 38 9
36 19 48
19 46 48
15 36 48
41 16 32
47 40 53
12 18 11
47 46 48
26 25 32
30 26 32
35 5 32
17 38 32
57 35 35
8 50 32
55 58 32
28 33 32
41 16 32
53 27 48
33 39 9
25 2 9
25 11 9
4 31 32
34 52 48
22 60 9
58 5 32
27 9 32
46 54 32
9 57 9
40 51 48
24 8 32
2 19 32
41 11 11
40 54 32
43 1 53
45 44 32
48 50 48
7 48 32
20 35 11
38 13 55
20 7 11
20 13 11
9 50 32
19 34 48
58 46 32
29 47 53
44 59 9
51 25 32
45 56 32
38 39 11
24 32 32
44 28 32
51 60 32
15 30 32
57 13 55
44 26 32
47 4 32
60 120
12 15 3
4 26 58
17 24 3
56 40 12
47 22 3
60 57 3
23 45 3
60 4 58
37 28 52
60 52 52
47 5 3
44 10 52
45 22 3
18 21 3
46 18 3
49 40 52
43 19 19
3 14 3
34 56 48
59 8 48
9 17 3
11 39 3
10 12 3
39 6 3
50 24 58
18 54 3
39 54 3
13 5 5
12 37 3
48 32 3
58 60 58
54 51 58
13 5 5
54 36 48
48 20 48
15 29 52
12 46 3
44 48 48
6 52 52
16 6 52
7 11 3
43 10 48
14 55 14
11 36 3
7 8 48
32 23 3
45 36 3
57 55 3
56 44 48
21 16 58
57 32 3
37 23 52
40 27 3
28 20 52
55 29 3
33 52 52
28 24 58
25 38 48
2 45 3
14 55 14
52 42 52
12 3 3
4 22 3
3 47 3
16 25 48
14 22 9
39 9 30
35 17 3
20 9 3
30 11 3
51 23 51
7 60 58
37 35 29
31 39 3
42 17 3
32 25 3
46 58 3
22 54 3
25 3 3
8 17 3
9 3 3
40 32 3
7 59 58
30 20 52
40 50 52
28 35 52
2 25 48
38 47 3
60 49 58
35 41 29
31 48 48
6 12 3
54 40 52
41 33 52
59 28 58
33 47 3
15 13 52
43 14 3
58 34 58
20 37 52
56 33 48
30 37 52
20 48 48
60 34 58
24 13 52
25 34 48
38 59 48
41 11 3
40 22 3
50 47 3
57 43 39
43 16 48
34 60 58
19 56 19
50 31 52
21 57 3
33 57 3
11 58 3
6 31 29
11 32 3
60 120
55 42 25
45 22 25
46 6 4
1 11 25
30 33 25
35 5 25
25 20 25
25 23 25
43 51 4
37 58 9
34 49 9
19 34 45
27 6 4
35 48 4
47 36 25
17 30 25
1 59 25
23 21 25
49 48 4
60 6 4
58 8 4
51 47 25
17 5 17
8 50 4
32 19 4
56 25 25
17 25 25
3 10 25
34 57 9
17 45 25
60 26 25
13 27 25
31 20 4
26 24 25
42 35 4
46 4 4
8 27 4
21 9 25
12 30 4
60 35 35
2 60 4
32 6 32
52 58 9
38 19 25
34 14 25
29 47 25
7 57 7
5 38 17
54 56 4
12 4 4
29 30 4
29 35 4
53 3 25
47 22 25
41 54 25
52 24 4
11 44 25
16 38 17
43 9 9
37 4 4
56 18 25
46 36 36
43 13 25
30 13 25
4 10 4
27 29 9
46 14 25
53 42 25
33 2 25
58 60 4
33 15 25
9 41 25
42 1 4
49 23 9
47 43 25
9 57 9
17 60 25
8 58 4
23 52 9
7 4 4
48 35 4
51 34 4
42 48 4
25 21 25
31 51 4
13 39 25
13 53 13
27 21 25
54 42 4
38 40 55
59 42 25
44 56 4
53 30 25
41 8 25
28 22 25
5 11 25
16 17 17
11 3 25
50 59 25
25 33 25
38 2 25
4 59 25
1 19 4
32 50 4
54 13 25
9 52 9
3 39 25
26 46 25
28 42 25
18 48 25
7 2 2
41 6 25
32 4 4
22 35 25
28 20 25
7 3 25
47 58 25
21 34 25
8 20 8
51 5 25
60 120
52 41 58
51 10 59
